,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
111,MPS-1-IN-1,189118,918,0.6851851851851852,0.8593073593073594,0.6392914653784219,0.7331486611265003,0.795512830939562,0.8820913433288307,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
112,Masitinib,189115,921,0.6927252985884907,0.6920565832426551,1.0,0.8180064308681672,0.8414818492772813,0.9131191270180947,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
113,Methotrexate,189187,849,0.8080094228504122,0.8065789473684211,0.9745627980922098,0.882649388048956,0.7926036999566413,0.8999841654016287,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
114,Mitomycin-C,189164,872,0.8291284403669725,0.05806451612903226,0.75,0.10778443113772454,0.8300387596899225,0.060593148580135356,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
115,Motesanib,189187,849,0.9764428739693758,0.9775413711583925,0.998792270531401,0.98805256869773,0.5789049919484702,0.9811608951426516,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
116,NG-25,189116,920,0.6152173913043478,0.590221187427241,0.9960707269155207,0.7412280701754386,0.7993250445747828,0.8065422640290586,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
117,NSC-207895,189121,915,0.29617486338797816,0.0,0.0,0.0,0.7144346909307602,0.8486125456236523,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
118,NSC-87877,189160,876,0.8789954337899544,0.96125,0.9111374407582938,0.9355231143552312,0.5719046208530805,0.9772082363333101,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
119,NU7441,189190,846,0.9054373522458629,0.9702457956015524,0.929368029739777,0.9493670886075949,0.8062148508245164,0.9880146284835934,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
120,NVP-BHG712,189116,920,0.7043478260869566,0.7035010940919038,0.9984472049689441,0.8254172015404365,0.7993124943739311,0.8947534780275868,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
121,NVP-TAE684,189631,405,0.5209876543209877,0.5187032418952618,0.9952153110047847,0.6819672131147541,0.6547944536666341,0.65652307516169,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
122,Navitoclax,189187,849,0.7302709069493521,0.7315175097276264,0.962457337883959,0.8312453942520265,0.5879910198678935,0.7171657479239668,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
123,Nilotinib,189231,805,0.9577639751552796,0.9695044472681067,0.9870633893919794,0.9782051282051282,0.8633974773609314,0.9929359019397637,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
124,Nutlin-3a (-),189187,849,0.6136631330977621,0.8961038961038961,0.5965417867435159,0.7162629757785468,0.6986055591707725,0.9044122289162906,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
