,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,ALPHA,L1_RATIO,ETA0
50,Cytarabine,189190,846,0.5366430260047281,0.43214285714285716,0.7658227848101266,0.5525114155251142,0.6729699068545498,0.5837067542978667,0.010196888209425372,0.43973347551563247,0.02181201561605224
51,DMOG,189159,877,0.09350057012542759,0.09350057012542759,1.0,0.17101147028154326,0.664979291302347,0.18016140370691083,0.010196888209425372,0.43973347551563247,0.02181201561605224
52,Dabrafenib,189161,875,0.7668571428571429,0.8125,0.9122807017543859,0.859504132231405,0.7208750497535287,0.9013780708307797,0.010196888209425372,0.43973347551563247,0.02181201561605224
53,Dacinostat,189164,872,0.21330275229357798,0.031117397454031116,0.9565217391304348,0.06027397260273973,0.6812106314333999,0.0478006047142175,0.010196888209425372,0.43973347551563247,0.02181201561605224
54,Dactolisib,189194,842,0.18171021377672208,0.0403899721448468,1.0,0.07764390896921017,0.7200661661789032,0.16246980542776368,0.010196888209425372,0.43973347551563247,0.02181201561605224
55,Daporinad,189133,903,0.4496124031007752,0.3005952380952381,0.8820960698689956,0.4483906770255272,0.6809700283778005,0.39299256556507584,0.010196888209425372,0.43973347551563247,0.02181201561605224
56,Dasatinib,189641,395,0.5721518987341773,0.5971014492753624,0.8728813559322034,0.7091222030981067,0.4705521799381729,0.5893805234724121,0.010196888209425372,0.43973347551563247,0.02181201561605224
57,Docetaxel,189186,850,0.3423529411764706,0.3376932223543401,0.993006993006993,0.5039929015084296,0.5595025541834052,0.4579493798874019,0.010196888209425372,0.43973347551563247,0.02181201561605224
58,Doramapimod,189197,839,0.8009535160905841,0.9640287769784173,0.8251231527093597,0.8891838088918381,0.5483488414522898,0.9751010010550061,0.010196888209425372,0.43973347551563247,0.02181201561605224
59,Doxorubicin,189165,871,0.5074626865671642,0.19569471624266144,0.847457627118644,0.31796502384737674,0.7340581178112409,0.30037355849321506,0.010196888209425372,0.43973347551563247,0.02181201561605224
60,EHT-1864,189112,924,0.8138528138528138,0.9633507853403142,0.8363636363636363,0.8953771289537712,0.6262138429752067,0.9692427069552542,0.010196888209425372,0.43973347551563247,0.02181201561605224
61,Elesclomol,189187,849,0.24263839811542992,0.2071156289707751,0.8956043956043956,0.33642930856553144,0.5699869845297132,0.3153097480781319,0.010196888209425372,0.43973347551563247,0.02181201561605224
62,Embelin,189164,872,0.5711009174311926,0.3369330453563715,0.6995515695067265,0.4548104956268222,0.6541212075148383,0.43244855069943067,0.010196888209425372,0.43973347551563247,0.02181201561605224
63,Entinostat,189636,400,0.4575,0.275092936802974,0.7708333333333334,0.4054794520547946,0.6104714912280702,0.30391565079484173,0.010196888209425372,0.43973347551563247,0.02181201561605224
64,Enzastaurin,189115,921,0.5950054288816504,0.5786452353616532,0.9882352941176471,0.7299058653149891,0.6535184390057727,0.6659963094035997,0.010196888209425372,0.43973347551563247,0.02181201561605224
65,Epothilone B,189165,871,0.2066590126291619,0.2066590126291619,1.0,0.3425309229305424,0.7122849332690142,0.4393812715699718,0.010196888209425372,0.43973347551563247,0.02181201561605224
66,Erlotinib,189666,370,0.6567567567567567,0.8996282527881041,0.7076023391812866,0.7921440261865794,0.299812030075188,0.897929021584803,0.010196888209425372,0.43973347551563247,0.02181201561605224
67,Etoposide,189155,881,0.2542565266742338,0.2542565266742338,1.0,0.40542986425339367,0.7284939660795826,0.49436369843565,0.010196888209425372,0.43973347551563247,0.02181201561605224
68,FH535,189167,869,0.12197928653624857,0.11689814814814815,1.0,0.20932642487046632,0.7063350866336634,0.28916803519409384,0.010196888209425372,0.43973347551563247,0.02181201561605224
69,FR-180204,189116,920,0.9597826086956521,0.9920273348519362,0.9667036625971143,0.9792017987633501,0.838950873298674,0.9940703363609942,0.010196888209425372,0.43973347551563247,0.02181201561605224
70,FTI-277,189156,880,0.8647727272727272,0.9844559585492227,0.8765859284890427,0.9273947528981086,0.4057315233785822,0.9827761157444103,0.010196888209425372,0.43973347551563247,0.02181201561605224
71,Fedratinib,189114,922,0.5357917570498916,0.5136363636363637,1.0,0.6786786786786787,0.6833176426285069,0.6393099483859427,0.010196888209425372,0.43973347551563247,0.02181201561605224
72,Foretinib,189119,917,0.4154852780806979,0.1584,0.908256880733945,0.26975476839237056,0.683985829775638,0.19853791183391772,0.010196888209425372,0.43973347551563247,0.02181201561605224
73,GNF-2,189640,396,0.9747474747474747,0.9747474747474747,1.0,0.9872122762148338,0.7883419689119171,0.9922562261590324,0.010196888209425372,0.43973347551563247,0.02181201561605224
74,GSK1070916,189141,895,0.49385474860335193,0.48464163822525597,1.0,0.6528735632183907,0.6979989389070742,0.6404161963895014,0.010196888209425372,0.43973347551563247,0.02181201561605224
75,GSK1904529A,189165,871,0.16303099885189437,1.0,0.15722543352601157,0.27172827172827174,0.6512524084778419,0.996943763253489,0.010196888209425372,0.43973347551563247,0.02181201561605224
76,GSK269962A,188704,1332,0.710960960960961,0.710960960960961,1.0,0.8310662571303202,0.6089921693934366,0.7893349480087394,0.010196888209425372,0.43973347551563247,0.02181201561605224
77,GSK319347A,189634,402,0.9975124378109452,0.9975124378109452,1.0,0.9987546699875467,0.655860349127182,0.9989529837726261,0.010196888209425372,0.43973347551563247,0.02181201561605224
78,GSK429286A,189113,923,0.7757313109425785,0.9557142857142857,0.7917159763313609,0.8660194174757282,0.7571081778182369,0.9618398860710512,0.010196888209425372,0.43973347551563247,0.02181201561605224
79,GSK650394,189173,863,0.641946697566628,0.6447876447876448,0.9382022471910112,0.7643020594965675,0.6816934758603417,0.7818806171332964,0.010196888209425372,0.43973347551563247,0.02181201561605224
80,GSK690693,189116,920,0.7282608695652174,0.8765243902439024,0.7728494623655914,0.8214285714285714,0.7031631842619748,0.8916722883728705,0.010196888209425372,0.43973347551563247,0.02181201561605224
81,GW-2580,189114,922,0.9934924078091106,0.9934924078091106,1.0,0.9967355821545157,0.4113901018922853,0.9898907186304485,0.010196888209425372,0.43973347551563247,0.02181201561605224
82,GW441756,189189,847,0.6399055489964581,0.9265232974910395,0.6619718309859155,0.772218073188947,0.5189345439025337,0.9268619925559816,0.010196888209425372,0.43973347551563247,0.02181201561605224
83,GW843682X,189637,399,0.2957393483709273,0.26246719160104987,1.0,0.41580041580041577,0.6396321070234112,0.3823474294591922,0.010196888209425372,0.43973347551563247,0.02181201561605224
84,Gefitinib,189190,846,0.9184397163120568,0.9261025029797377,0.9910714285714286,0.9574861367837337,0.5647835747202107,0.9476168572368697,0.010196888209425372,0.43973347551563247,0.02181201561605224
85,Gemcitabine,189170,866,0.27713625866050806,0.22704714640198512,0.9838709677419355,0.3689516129032258,0.7171489563567363,0.41136038126381275,0.010196888209425372,0.43973347551563247,0.02181201561605224
86,HG6-64-1,189160,876,0.3378995433789954,0.32280701754385965,0.9963898916967509,0.48763250883392223,0.7296878672637308,0.5912528370371626,0.010196888209425372,0.43973347551563247,0.02181201561605224
87,I-BET-762,189118,918,0.7472766884531591,0.7345971563981043,0.9872611464968153,0.8423913043478262,0.7500603997364376,0.8391417203797231,0.010196888209425372,0.43973347551563247,0.02181201561605224
88,IOX2,189105,931,0.9344790547798066,0.9841628959276018,0.9487459105779716,0.966129927817879,0.5737653840162019,0.9831484981350714,0.010196888209425372,0.43973347551563247,0.02181201561605224
89,IPA-3,189166,870,0.6609195402298851,0.6438547486033519,0.9201596806387226,0.7576006573541495,0.7053048374795126,0.7421619576277819,0.010196888209425372,0.43973347551563247,0.02181201561605224
90,Idelalisib,189113,923,0.8559046587215602,0.9180124223602485,0.9168734491315137,0.9174425822470516,0.762200165425972,0.9488189623115717,0.010196888209425372,0.43973347551563247,0.02181201561605224
91,Imatinib,189630,406,0.9458128078817734,0.9670886075949368,0.9769820971867008,0.9720101781170484,0.8097186700767264,0.9880759961608481,0.010196888209425372,0.43973347551563247,0.02181201561605224
92,Ispinesib Mesylate,189114,922,0.5455531453362256,0.5455531453362256,1.0,0.7059649122807017,0.7582002021285177,0.7644322366850524,0.010196888209425372,0.43973347551563247,0.02181201561605224
93,JNK Inhibitor VIII,189189,847,0.9917355371900827,0.9917355371900827,1.0,0.995850622406639,0.4724489795918368,0.9921218535593481,0.010196888209425372,0.43973347551563247,0.02181201561605224
94,JNK-9L,189156,880,0.6772727272727272,0.12218649517684887,0.7755102040816326,0.2111111111111111,0.7803236818192981,0.13752827560063577,0.010196888209425372,0.43973347551563247,0.02181201561605224
95,JQ1,188239,1797,0.5726210350584308,0.6887340301974448,0.5425434583714547,0.6069600818833162,0.6173181090410047,0.6989651391460127,0.010196888209425372,0.43973347551563247,0.02181201561605224
96,JW-7-52-1,189652,384,0.3385416666666667,0.18627450980392157,0.9193548387096774,0.30978260869565216,0.6204668403125626,0.2276516641229055,0.010196888209425372,0.43973347551563247,0.02181201561605224
97,KIN001-244,189117,919,0.6082698585418934,0.75,0.5073529411764706,0.6052631578947368,0.7118970588235294,0.7378159772032864,0.010196888209425372,0.43973347551563247,0.02181201561605224
98,KIN001-260,189117,919,0.8966267682263329,0.9047619047619048,0.9864029666254636,0.9438202247191011,0.8754691538375099,0.9793166524517207,0.010196888209425372,0.43973347551563247,0.02181201561605224
99,KIN001-266,189116,920,0.5728260869565217,0.7172774869109948,0.28781512605042014,0.4107946026986507,0.7023147096676509,0.6829436422423629,0.010196888209425372,0.43973347551563247,0.02181201561605224
100,KIN001-270,189116,920,0.9423913043478261,0.9740698985343855,0.9664429530201343,0.970241437394722,0.8706763035622096,0.9956875840615238,0.010196888209425372,0.43973347551563247,0.02181201561605224
101,KU-55933,189188,848,0.5389150943396226,0.9742388758782201,0.5226130653266332,0.6802943581357319,0.7596395438732121,0.9744853024157181,0.010196888209425372,0.43973347551563247,0.02181201561605224
102,LFM-A13,189166,870,0.7448275862068966,0.9877675840978594,0.7511627906976744,0.8533685601056803,0.535,0.9914087956886177,0.010196888209425372,0.43973347551563247,0.02181201561605224
103,Lapatinib,189640,396,0.12121212121212122,0.9259259259259259,0.0673854447439353,0.12562814070351758,0.4089487870619946,0.9285583909718204,0.010196888209425372,0.43973347551563247,0.02181201561605224
104,Lenalidomide,189186,850,0.9811764705882353,0.9893111638954869,0.9916666666666667,0.9904875148632581,0.829404761904762,0.9974482472993429,0.010196888209425372,0.43973347551563247,0.02181201561605224
105,Lestaurtinib,189187,849,0.18610129564193167,0.18610129564193167,1.0,0.31380337636544187,0.748465808129843,0.38363772080523295,0.010196888209425372,0.43973347551563247,0.02181201561605224
106,Linifanib,189114,922,0.9045553145336226,0.9809976247030879,0.9198218262806236,0.9494252873563219,0.7408129175946547,0.9901326784226984,0.010196888209425372,0.43973347551563247,0.02181201561605224
107,Linsitinib,189169,867,0.8016147635524798,0.8016147635524798,1.0,0.8898847631241998,0.5505019240421616,0.8312820583302983,0.010196888209425372,0.43973347551563247,0.02181201561605224
108,Luminespib,189175,861,0.45760743321718933,0.20869565217391303,0.9090909090909091,0.33946251768033947,0.7628548863116764,0.38223652973022587,0.010196888209425372,0.43973347551563247,0.02181201561605224
109,MG-132,189636,400,0.445,0.4173441734417344,0.9565217391304348,0.5811320754716981,0.6413628212791392,0.5689722032666794,0.010196888209425372,0.43973347551563247,0.02181201561605224
110,MK-2206,189211,825,0.5733333333333334,0.5736906211936662,0.9957716701902748,0.7279752704791344,0.5826145973476841,0.6378330725702275,0.010196888209425372,0.43973347551563247,0.02181201561605224
111,MPS-1-IN-1,189118,918,0.7549019607843137,0.7558139534883721,0.9420289855072463,0.8387096774193549,0.7703172356956576,0.8633667553397948,0.010196888209425372,0.43973347551563247,0.02181201561605224
112,Masitinib,189115,921,0.7372421281216069,0.7254004576659039,0.9968553459119497,0.8397350993377484,0.8252068851373718,0.905222020766808,0.010196888209425372,0.43973347551563247,0.02181201561605224
113,Methotrexate,189187,849,0.7809187279151943,0.7821656050955414,0.9761526232114467,0.8684582743988686,0.7418846654140772,0.8596904266727708,0.010196888209425372,0.43973347551563247,0.02181201561605224
114,Mitomycin-C,189164,872,0.11353211009174312,0.015286624203821656,1.0,0.030112923462986198,0.6655038759689922,0.025268143488507165,0.010196888209425372,0.43973347551563247,0.02181201561605224
115,Motesanib,189187,849,0.901060070671378,0.9769230769230769,0.9202898550724637,0.9477611940298507,0.5310559006211181,0.9800717625573995,0.010196888209425372,0.43973347551563247,0.02181201561605224
116,NG-25,189116,920,0.5532608695652174,0.5532608695652174,1.0,0.7123862841147655,0.7494204083193514,0.7548705357468927,0.010196888209425372,0.43973347551563247,0.02181201561605224
117,NSC-207895,189121,915,0.7038251366120218,0.7038251366120218,1.0,0.826170622193714,0.7006027824253398,0.8436605643116957,0.010196888209425372,0.43973347551563247,0.02181201561605224
118,NSC-87877,189160,876,0.8732876712328768,0.9621689785624212,0.9040284360189573,0.9321930360415394,0.5847526658767772,0.9776140099131316,0.010196888209425372,0.43973347551563247,0.02181201561605224
119,NU7441,189190,846,0.5378250591016549,0.985981308411215,0.5229244114002478,0.6834008097165992,0.7386331140977981,0.9820340709442184,0.010196888209425372,0.43973347551563247,0.02181201561605224
120,NVP-BHG712,189116,920,0.6793478260869565,0.8336520076481836,0.6770186335403726,0.7472150814053128,0.7489254208299577,0.8545380412418471,0.010196888209425372,0.43973347551563247,0.02181201561605224
121,NVP-TAE684,189631,405,0.5234567901234568,0.520618556701031,0.9665071770334929,0.6767169179229481,0.5716726882140416,0.5802474645384144,0.010196888209425372,0.43973347551563247,0.02181201561605224
122,Navitoclax,189187,849,0.6984687868080094,0.6959619952494062,1.0,0.8207282913165267,0.5980936684877821,0.7251222453805838,0.010196888209425372,0.43973347551563247,0.02181201561605224
123,Nilotinib,189231,805,0.8347826086956521,0.9833836858006042,0.8421733505821475,0.9073170731707316,0.79378234152652,0.9868371001722459,0.010196888209425372,0.43973347551563247,0.02181201561605224
124,Nutlin-3a (-),189187,849,0.254416961130742,0.9552238805970149,0.09221902017291066,0.16819973718791065,0.6604908431718881,0.8878963477133882,0.010196888209425372,0.43973347551563247,0.02181201561605224
125,OSI-027,189120,916,0.3220524017467249,0.243605359317905,1.0,0.3917727717923604,0.7097835195530726,0.35337728963974246,0.010196888209425372,0.43973347551563247,0.02181201561605224
126,OSI-930,189115,921,0.9402823018458197,0.9437706725468578,0.9953488372093023,0.9688737973967175,0.8978078536027451,0.9907845682379304,0.010196888209425372,0.43973347551563247,0.02181201561605224
127,OSU-03012,189166,870,0.19885057471264367,0.19792865362485615,1.0,0.33045148895292986,0.7521489971346704,0.4523603225635692,0.010196888209425372,0.43973347551563247,0.02181201561605224
